Player,2PA,3PA,FTA,ORB,DRB,AST,STL,BLK,PTS,2P%,3P%,eFG%,FT%,DBPM,USG%,REACH(in.),Cost
Nic Batum,7,5.9,2.8,0.8,5.5,5.9,1,0.6,15.4,15.4,0.348,0.506,0.849,0.9,21.4,104.75,1
Steven Adams,7.6,0,3.5,3.9,5.6,1.1,0.8,1.6,11.4,0.613,0,0.613,0.582,1.3,12.6,109.5,1
Nikola Jokic,10.7,1.7,3.9,3.8,7.9,3.9,1.6,1,16.5,0.541,0.333,0.535,0.811,2.2,19.9,111,1
Devin Booker,9.9,4.9,4.4,0.5,2.7,3.4,0.8,0.3,17.9,0.464,0.343,0.48,0.84,-2.4,23,102.5,1
Avery Bradley,8.7,5.8,1.7,0.7,2.4,2.2,1.7,0.3,16.4,0.505,0.361,0.52,0.78,-0.3,19.8,98.5,1
Harrison Barnes,7.4,3.8,2.4,1.4,4.4,2.1,0.7,0.2,13.6,0.508,0.383,0.531,0.761,-0.6,15.9,101.5,1
Andrew Bogut,6.9,0,1.2,3,9.2,4,0.8,2.8,9.3,0.626,0,0.629,0.48,5.1,11.4,110.5,1
Monta Ellis,9.7,3.7,2.7,0.6,3,5,2,0.5,14.8,0.472,0.309,0.47,0.786,0.9,21.2,98,1
Willie Cauley-Stein,8.6,0,3.2,3.4,5.6,0.9,1.2,1.7,11.8,0.567,0,0.563,0.648,1.5,13.2,111,1
Reggie Jackson,13.5,5,5,0.9,2.9,7.3,0.9,0.2,22.1,0.464,0.353,0.482,0.864,-1.6,29.1,103,1
Tristan Thompson,6.7,0,3.8,4.3,7.5,1,0.6,0.8,10.2,0.588,0,0.588,0.616,1.3,11.7,108.5,1
Kentavious Caldwell-Pope,7.6,4.8,2.9,0.9,2.7,1.8,1.4,0.2,14.3,0.489,0.811,0.479,0.811,0.6,18.2,100.5,1
JR Smith,5.2,7.8,1.1,0.7,2.7,2,1.2,0.3,14.6,0.438,0.4,0.535,0.634,-0.4,18,104,1
Joakim Noah,7.5,0,2.6,4.9,9.5,6.2,1,1.6,7,0.386,0,0.383,0.489,4.3,14.2,106.5,1
Jae Crowder,7,5.7,3.7,1.1,4.7,2.1,2,0.5,16.2,0.529,0.336,0.518,0.82,1.3,18.5,102.75,1
Kyle Korver,3.3,6,0.8,0.2,3.7,2.5,0.9,0.5,11.1,0.502,0.398,0.563,0.833,0.5,13.7,102.5,1
Marvin Williams,5.7,5.8,2.2,2,6.1,1.7,0.9,1.2,14.6,0.504,0.402,0.554,0.833,1,16.8,108,1
Jrue Holiday,13.3,5.1,4.2,0.5,3.3,7.7,1.7,0.4,21.4,0.478,0.336,0.485,0.843,-1.3,28.9,100.5,1
Derrick Rose,15.4,2.6,3.1,0.8,3.1,5.3,0.8,0.2,18.5,0.449,0.293,0.448,0.793,-2.1,27.3,98.5,1
Rajon Rondo,8.7,2.4,2.1,1.1,5.1,11.9,2,0.1,12.2,0.479,0.365,0.494,0.58,0.2,18.8,98,1
Zaza Pachulia,8.4,0,5,4.5,8.4,2.3,1.1,0.4,11.7,0.469,0,0.466,0.768,2.2,16.2,107,1
Patrick Beverley,5,5.5,1.6,1.3,3.1,4.2,1.7,0.5,12.3,0.472,0.4,0.539,0.682,-0.3,15.3,98,1
Trevor Ariza,4.5,6.3,2,0.8,3.8,2.4,2,0.3,12.9,0.478,0.371,0.523,0.783,0.3,15.7,107.5,1
Matt Barnes,5.3,6.1,2.3,1.4,5.5,2.7,1.3,0.9,2,0.449,0.322,0.467,0.804,0.8,17.9,96.5,1
